path_id,step,hour,currency,architecture,lcu_usd,eth_usd,oracle_ratio_error,source_disagreement,dex_discount,annual_rate,debt_ceiling,liquidation_ratio,paused,bad_debt_cumulative,credit_cumulative
1,14,90,ARS,Static single oracle,0.998924518,0.956762064,-0.0177579121,0.11485829,0.123160672,0.08,1,1.5,0,0,0.0268345438
2,14,90,ARS,Static single oracle,1.00416975,0.991618629,-0.0167274781,0.165349375,0.120374446,0.08,1,1.5,0,0,0.0267640058
0,15,96,ARS,Static single oracle,0.998708605,0.917050127,-0.0184113301,0.17959466,0.125835517,0.08,1,1.5,0,0,0.028505358
1,15,96,ARS,Static single oracle,0.996838966,0.9407265,-0.0225320527,0.0985396793,0.129160603,0.08,1,1.5,0,0,0.0286201866
2,15,96,ARS,Static single oracle,1.00932237,1.00190652,-0.0146703949,0.161530472,0.125343942,0.08,1,1.5,0,0,0.0285377918
0,16,102,ARS,Static single oracle,0.999861632,0.917976697,-0.0182614773,0.17414433,0.130493942,0.08,1,1.5,0,0,0.0302727857
1,16,102,ARS,Static single oracle,0.996288215,0.928038404,-0.0222556577,0.0884160485,0.133904372,0.08,1,1.5,0,0,0.030387379
2,16,102,ARS,Static single oracle,1.00638534,0.993669078,-0.0184173295,0.169682061,0.131883449,0.08,1,1.5,0,0,0.0303409922
0,17,108,ARS,Static single oracle,1.00372136,0.900791194,-0.0172227879,0.144086156,0.134964331,0.08,1,1.5,0,0,0.0320420501
1,17,108,ARS,Static single oracle,0.995662277,0.943902588,-0.0253821956,0.121053211,0.138433717,0.08,1,1.5,0,0,0.0321499863
2,17,108,ARS,Static single oracle,1.00344301,0.96526551,-0.0221763933,0.15434301,0.138049586,0.08,1,1.5,0,0,0.032137597
0,18,114,ARS,Static single oracle,1.00107971,0.906060424,-0.0191450756,0.160751044,0.140882665,0.08,1,1.5,0,0,0.0338404923
1,18,114,ARS,Static single oracle,0.9949778,0.947984231,-0.0264704125,0.155687264,0.142782517,0.08,1,1.5,0,0,0.0339114032
2,18,114,ARS,Static single oracle,1.00252931,0.959215595,-0.0241465768,0.128973438,0.142602057,0.08,1,1.5,0,0,0.0339058582
0,19,120,ARS,Static single oracle,1.00080445,0.882617327,-0.021063365,0.123675623,0.144981607,0.08,1,1.5,0,0,0.0356063675
1,19,120,ARS,Static single oracle,0.994169186,0.95139833,-0.0258415594,0.179904455,0.147029835,0.08,1,1.5,0,0,0.0356754671
2,19,120,ARS,Static single oracle,1.00166858,0.955016078,-0.0307717072,0.125441956,0.146807405,0.08,1,1.5,0,0,0.0356618071
0,20,126,ARS,Static single oracle,0.998531077,0.872638183,-0.0251200018,0.11945062,0.150104608,0.08,1,1.5,0,0,0.0373896578
1,20,126,ARS,Static single oracle,0.995839573,0.952716686,-0.0242387925,0.197513085,0.150599368,0.08,1,1.5,0,0,0.0374323618
2,20,126,ARS,Static single oracle,1.00252741,0.933115744,-0.0276291997,0.111561622,0.150334121,0.08,1,1.5,0,0,0.0374127553
0,21,132,ARS,Static single oracle,0.994202135,0.902108972,-0.0339273679,0.185493818,0.156151194,0.08,1,1.5,0,0,0.0391825304
1,21,132,ARS,Static single oracle,0.994236926,0.931396955,-0.0258307607,0.163092719,0.155016648,0.08,1,1.5,0,0,0.0392062383
2,21,132,ARS,Static single oracle,0.999751837,0.93919631,-0.0280834678,0.151038905,0.155467518,0.08,1,1.5,0,0,0.0391968733
0,22,138,ARS,Static single oracle,0.995712036,0.891124465,-0.030365986,0.169895291,0.159199779,0.08,1,1.5,0,0,0.0409286932
1,22,138,ARS,Static single oracle,0.993676849,0.919652388,-0.0262980513,0.150972592,0.158558542,0.08,1,1.5,0,0,0.0409664344
2,22,138,ARS,Static single oracle,0.994556173,0.938250936,-0.0329744954,0.166343588,0.161820667,0.08,1,1.5,0,0,0.04100201
0,23,144,ARS,Static single oracle,0.993551373,0.877915238,-0.0328370708,0.186695171,0.163464064,0.08,1,1.5,0,0,0.0426970335
1,23,144,ARS,Static single oracle,0.994204613,0.918799002,-0.0255278012,0.149220898,0.161603426,0.08,1,1.5,0,0,0.0427210659
2,23,144,ARS,Static single oracle,0.996059834,0.923708693,-0.0311785797,0.159667826,0.164576447,0.08,1,1.5,0,0,0.0427467544
0,24,150,ARS,Static single oracle,0.990979854,0.902923929,-0.0337110536,0.231292408,0.167782703,0.08,1,1.5,0,0,0.0444689363
1,24,150,ARS,Static single oracle,0.995343575,0.907426364,-0.0266181753,0.139516451,0.164506353,0.08,1,1.5,0,0,0.0444737853
2,24,150,ARS,Static single oracle,0.994838531,0.916358989,-0.0338190351,0.18027443,0.167960665,0.08,1,1.5,0,0,0.0445018427
0,25,156,ARS,Static single oracle,0.989066947,0.91360479,-0.0318383504,0.212283811,0.171511972,0.08,1,1.5,0,0,0.0462361125
1,25,156,ARS,Static single oracle,0.998892384,0.907780733,-0.0219883164,0.160811975,0.167368821,0.08,1,1.5,0,0,0.0462346383
2,25,156,ARS,Static single oracle,0.994528885,0.936953707,-0.0318977729,0.197467793,0.170649476,0.08,1,1.5,0,0,0.046249132
0,26,162,ARS,Static single oracle,0.987576213,0.907972539,-0.0353879088,0.225629907,0.174744574,0.08,1,1.5,0,0,0.0479918726
1,26,162,ARS,Static single oracle,0.99985556,0.885648725,-0.020984708,0.150678168,0.170131306,0.08,1,1.5,0,0,0.0479972594
2,26,162,ARS,Static single oracle,0.999960191,0.9508686,-0.0217645956,0.205772519,0.173202144,0.08,1,1.5,0,0,0.048010379
0,27,168,ARS,Static single oracle,0.985723624,0.931736163,-0.0356011834,0.269845395,0.178067227,0.08,1,1.5,0,0,0.0497517488
1,27,168,ARS,Static single oracle,1.0003586,0.87224112,-0.0215206482,0.13965047,0.172772423,0.08,1,1.5,0,0,0.049758936
2,27,168,ARS,Static single oracle,0.991830528,0.926456666,-0.031946505,0.208119168,0.180808132,0.08,1,1.5,0,0,0.0498534066
0,28,174,ARS,Static single oracle,0.987418612,0.915452026,-0.0317842649,0.223631145,0.180113886,0.08,1,1.5,0,0,0.0514954368
1,28,174,ARS,Static single oracle,1.00232309,0.868712061,-0.0211964422,0.150368168,0.175312058,0.08,1,1.5,0,0,0.051521184
2,28,174,ARS,Static single oracle,0.995158532,0.948705732,-0.0278625252,0.243361129,0.182891033,0.08,1,1.5,0,0,0.0516039463
0,29,180,ARS,Static single oracle,0.982381036,0.910452321,-0.0354448275,0.212102164,0.185271847,0.08,1,1.5,0,0,0.053294956
1,29,180,ARS,Static single oracle,1.00141392,0.862554393,-0.0261409063,0.150348309,0.178243749,0.08,1,1.5,0,0,0.0532858791
2,29,180,ARS,Static single oracle,0.996708093,0.921362305,-0.026473261,0.19258376,0.184917551,0.08,1,1.5,0,0,0.0533569197
0,30,186,ARS,Static single oracle,0.981529461,0.901335442,-0.0352672885,0.213202489,0.187477356,0.08,1,1.5,0,0,0.0550431296
1,30,186,ARS,Static single oracle,1.00274906,0.86745302,-0.0262359079,0.183720614,0.18046973,0.08,1,1.5,0,0,0.0550392686
2,30,186,ARS,Static single oracle,0.998458535,0.894717745,-0.0306284912,0.154678459,0.186797987,0.08,1,1.5,0,0,0.0551026241
0,31,192,ARS,Static single oracle,0.9794829,0.890053271,-0.0359265612,0.177635545,0.190360254,0.08,1,1.5,0,0,0.0568049809
1,31,192,ARS,Static single oracle,1.00211992,0.873276077,-0.0278161896,0.209471765,0.182981459,0.08,1,1.5,0,0,0.0567975804
2,31,192,ARS,Static single oracle,0.99913544,0.901590506,-0.0234270029,0.183018148,0.188727516,0.08,1,1.5,0,0,0.0568609456
0,32,198,ARS,Static single oracle,0.980948851,0.877856578,-0.0365852709,0.185010794,0.19178087,0.08,1,1.5,0,0,0.0585403175
1,32,198,ARS,Static single oracle,1.00138904,0.87616295,-0.0309438298,0.222465654,0.185400683,0.08,1,1.5,0,0,0.0585516473
2,32,198,ARS,Static single oracle,0.995778305,0.919261053,-0.0305429955,0.187741987,0.19260169,0.08,1,1.5,0,0,0.0586479314
0,33,204,ARS,Static single oracle,0.978944227,0.902351023,-0.0339392002,0.216782142,0.194501461,0.08,1,1.5,0,0,0.0603051671
1,33,204,ARS,Static single oracle,1.00201121,0.880688665,-0.0298383526,0.236045,0.187273702,0.08,1,1.5,0,0,0.0602987316
2,33,204,ARS,Static single oracle,0.998945411,0.917148037,-0.0293118797,0.217329123,0.194167059,0.08,1,1.5,0,0,0.0603959358
0,34,210,ARS,Static single oracle,0.983537908,0.906682629,-0.0288008757,0.229217324,0.19588805,0.08,1,1.5,0,0,0.0620540649
1,34,210,ARS,Static single oracle,1.00546267,0.892862114,-0.0281425143,0.244287023,0.189104835,0.08,1,1.5,0,0,0.0620487813
2,34,210,ARS,Static single oracle,1.00004787,0.905126257,-0.0303403767,0.236073581,0.195660368,0.08,1,1.5,0,0,0.0621421433
0,35,216,ARS,Static single oracle,0.982761076,0.891718774,-0.0279018707,0.225659411,0.19774932,0.08,1,1.5,0,0,0.0638142176
1,35,216,ARS,Static single oracle,0.978407899,0.908313237,-0.055189419,0.283631803,0.208994586,0.08,1,1.5,0,0,0.064077361
2,35,216,ARS,Static single oracle,1.0028298,0.903104123,-0.0286056856,0.225943476,0.197130319,0.08,1,1.5,0,0,0.0638913826
0,36,222,ARS,Static single oracle,0.985044813,0.92162763,-0.0274624636,0.273869825,0.199044147,0.08,1,1.5,0,0,0.0655654578
1,36,222,ARS,Static single oracle,0.979137831,0.912191011,-0.0541002178,0.303392125,0.210467273,0.08,1,1.5,0,0,0.0657825679
2,36,222,ARS,Static single oracle,1.00401949,0.886578277,-0.0244089112,0.185338506,0.198617978,0.08,1,1.5,0,0,0.0656479784
0,37,228,ARS,Static single oracle,0.986766281,0.902768822,-0.0240453079,0.22355236,0.200356487,0.08,1,1.5,0,0,0.0673226925
1,37,228,ARS,Static single oracle,0.981052606,0.924405021,-0.0531422363,0.312055644,0.211866048,0.08,1,1.5,0,0,0.0674894091
2,37,228,ARS,Static single oracle,1.00075763,0.899297504,-0.0311824018,0.210145392,0.202005329,0.08,1,1.5,0,0,0.0674324589
0,38,234,ARS,Static single oracle,0.984919454,0.914376845,-0.0309635007,0.2397703,0.202702271,0.08,1,1.5,0,0,0.0690906967
1,38,234,ARS,Static single oracle,0.981135664,0.929081881,-0.0568595241,0.308490284,0.213120128,0.08,1,1.5,0,0,0.0691899173
2,38,234,ARS,Static single oracle,0.995442809,0.890817154,-0.0379439707,0.224014047,0.206423001,0.08,1,1.5,0,0,0.0692300355
